Name,Why?,Books or crucial papers,Web,Nationality,Awards and honors,Facts,Gender,Education,Social class when born,Languages she or he spokes,Age,Period
https://en.wikipedia.org/wiki/John_L._Hennessy; John L. Hennessy,,,,American,,The godfather of Silicon Valley,Male,,,English,,
https://en.wikipedia.org/wiki/Geoffrey_Hinton,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Betty_Holberton,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Herman_Hollerith,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Feng-hsiung_Hsu,,,,,,,,,,,,
https://en.wikipedia.org/wiki/David_Albert_Huffman,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Cuthbert_Hurd,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Harry_Huskey,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Kenneth_E._Iverson,APL,,,,Turing Award,,,,,,,
https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Al-Jazari,,,,,,,,,,,,
https://en.wikipedia.org/wiki/William_Kahan,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Bob_Kahn,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Maurice_Karnaugh,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Richard_M._Karp,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Jacek_Karpinski,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Gary_Kildall,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Russell_Kirsch,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Leonard_Kleinrock,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Stephen_Cole_Kleene. Stephen Cole Kleene. Stephen Kleene.,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Butler_W._Lampson,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Sergei_Alekseyevich_Lebedev,,,,,,,,,,,,
https://en.wikipedia.org/wiki/J._C._R._Licklider,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ramon_Llull,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Percy_Ludgate,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Per_Martin-L%C3%B6f,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_Mauchly,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Edward_J._McCluskey,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Silvio_Micali,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Robin_Milner,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Marvin_Minsky,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Satoshi_Nakamoto,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Akira_Nakashima,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Peter_Naur,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Allen_Newell,,,,,,,,,,,,
Paul Allen,Microsoft founder,,,,,,Male,,,,65,"January 21, 1953 → October 15, 2018"
https://en.wikipedia.org/wiki/Max_Newman,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Kristen_Nygaard,,,,,,,,,,,,
https://en.wikipedia.org/wiki/P%C4%81%E1%B9%87ini,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Blaise_Pascal,,,,,,,,,,,,
https://en.wikipedia.org/wiki/David_Patterson_(computer_scientist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Judea_Pearl,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Alan_Perlis,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Radia_Perlman,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Pier_Giorgio_Perotto,,,,,,,,,,,,
https://en.wikipedia.org/wiki/R%C3%B3zsa_P%C3%A9ter,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Rosalind_Picard,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Amir_Pnueli,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Emil_Leon_Post,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Michael_O._Rabin,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Raj_Reddy,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Saul_Rosen,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Philip_Rubin,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Bertrand_Russell,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Gerard_Salton,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Jean_E._Sammet,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Charles_Sanders_Peirce,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Dana_Scott,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Adi_Shamir,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Masatoshi_Shima,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Joseph_Sifakis,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Herbert_A._Simon,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Karen_Sp%C3%A4rck_Jones,,,,British,,,Female,,,,,
http://seseav.veracruz.gob.mx/mclv/,,,http://paginaspersonales.unam.mx/app/webroot/files/11/Cristina-Loyo.pdf,Mexican,,,Female,,,,,
Maria Eugenia Reyes,,,,Mexican,,,Female,,,,,
Ofelia Cervantes Villagómez,,,https://search.udlap.mx/DirectorioProfesores/Profesor/Profesores?q=1647&OFELIA,Mexican,,"Chevalier de l´Ordre National du Mérite, Cónsul Honoraria de Francia en Puebla",Female,,,,,
María de la Concepción Pérez de Celis Herrero,,,,Mexican,,,Female,,,,,
https://en.wikipedia.org/wiki/Richard_E._Stearns,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Alexander_Stepanov,,,,,,,,,,,,
https://en.wikipedia.org/wiki/George_Robert_Stibitz,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Michael_Stonebraker,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ivan_Sutherland,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Robert_Tarjan,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Charles_P._Thacker,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Andr%C3%A9_Truong_Trong_Thig,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Fran%C3%A7ois_Gernelle,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Chai_Keong_Toh,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Leonardo_Torres_Quevedo,,,,Spanish,,,Male,,,,,
https://en.wikipedia.org/wiki/John_W._Tukey,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Leslie_Valiant,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ram%C3%B3n_Verea,,,,,,,,,,,,
https://en.wikipedia.org/wiki/An_Wang,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Willis_Ware,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Joseph_Weizenbaum,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Adriaan_van_Wijngaarden,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Maurice_Wilkes,,,,,,,,,,,,
https://en.wikipedia.org/wiki/James_H._Wilkinson,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Andrew_Yao,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Heinz_Zemanek,,,,,,,,,,,,
,,,,,,,,,,,,
Steve Bourne,He's written Bourne shell,,,,,,,,,,,
,,,,,,,,,,,,
Capers Jones,,"Estimating Software Costs: Bringing Realism to Estimating (English Edition), Software Development Patterns and Antipatterns, Software Engineering Best Practices: Lessons from Successful Projects in the Top Companies, Software Methodologies: A Quantitative Guide",,,,,,,,,,
Mina Rees,She helped establish a funding stream to research computing.\,The Federal Computing Machine Program,,,,,Female,,,,,
Hady Lamarr,,,,,,self-taught,Female,,,,,
John Tukey,,,,,,"He coined the term bit, He coined the term software",,,,,,
George Elmer Forsythe,"father of computer science, he founded computer science Stanford deparment",,,American,,he coined the term computer science,Male,"Brown University;Swarthmore College ",,,,
Alexandra Illmer Forsythe,Writing the first computer science textbook,Forsythe Alexandra I.; Keenan Thomas; Organick Elliott; Sternberg Warren (1969). Computer science: A First Course (1 ed.). New York: Wiley. p. 741. ISBN 0471266809.,,,,,Female,,,,,
"Leonid Anatolievich Levin, Leonid Levin",Cook–Levin theorem,,,"Soviet Union, URRS, Ukrainian",,,Male,,,,,
,,,,,,,,,,,,
"Stephen Cook, Stephen Arthur Cook","Cook–Levin theorem, NP-completeness",,https://www.cs.bu.edu/~lnd/,"American, Canadian",Turing Award,,Male,,,,,
,,,,,,,,,,,,
Lord Kevin,,,,,,,,,,,,
John Warnock,Co-founder Adobe Systems Inc.,,,,,,Male,,,,,
Robert Tappan Morris,"Morris worm, Viaweb",,,,,,,,,,,
Loren Carpenter,Reyes rendering,,,,,,Male,,,English,,
John McAfee,,,,,,,,,,,,
