Name,Tags,Created time
pilsner,,"December 28, 2022 9:12 PM"
tureen,,"December 28, 2022 9:12 PM"
goblet,,"December 28, 2022 9:10 PM"
ride,,"December 28, 2022 9:08 PM"
mount,,"December 28, 2022 9:08 PM"
meek,,"December 28, 2022 8:52 PM"
above,,"December 28, 2022 8:52 PM"
cranky,,"December 28, 2022 8:52 PM"
uptight,,"December 28, 2022 8:51 PM"
subservient,Synonyms: meek,"December 28, 2022 8:47 PM"
particular,Synonyms: fussy,"December 28, 2022 8:46 PM"
fussy,Synonyms: particular,"December 28, 2022 8:45 PM"
thereby,INDEPENDENT CLAUSE thereby DEPENDEN CLAUSE,"December 27, 2022 7:45 PM"
therefore,"conjunctive, relation","December 27, 2022 7:44 PM"
cripple,to severely weaken or disable something,"December 27, 2022 7:05 PM"
You can catch more flies with honey than vinegar,proverb,"December 27, 2022 7:00 PM"
brush off,,"December 27, 2022 7:00 PM"
stare,,"January 11, 2023 11:00 AM"
dog work,"informal, noun, tedious labor","January 11, 2023 9:10 AM"
idle,,"December 27, 2022 6:58 PM"
deviants,"Differing from a norm, adjective, noun","December 27, 2022 6:57 PM"
playpen,noun,"December 27, 2022 6:55 PM"
full-fledged,"adjective, mature","December 27, 2022 6:53 PM"
personhood,,"December 27, 2022 6:45 PM"
ripe,,"December 27, 2022 6:44 PM"
clump,noun,"December 27, 2022 6:43 PM"
flesh,,"December 27, 2022 6:40 PM"
ought,"noun, verb","December 27, 2022 6:35 PM"
utterly,"adverb, extreme degree, totally","December 27, 2022 6:35 PM"
burden,,"December 27, 2022 6:33 PM"
scolds,"noun, to speak in a angry way to someone, verb","December 27, 2022 6:31 PM"
stealthily,,"December 27, 2022 6:26 PM"
prudish,"adjective, having strict moral principles","December 27, 2022 6:24 PM"
worked up,"NOT ""work up"", adjective, exicited, idiom, upset","December 27, 2022 6:22 PM"
steal,,"December 27, 2022 6:16 PM"
trespassory,,"December 27, 2022 6:15 PM"
seldom,"adverb, rarely","December 27, 2022 6:14 PM"
turn up,,"December 27, 2022 6:13 PM"
turn out,,"December 27, 2022 6:13 PM"
hearsay,rumor,"December 27, 2022 6:12 PM"
tailored,fitted,"December 27, 2022 6:10 PM"
Narrow tailoring,legal principle,"December 27, 2022 6:08 PM"
reimbursement,repayment,"December 27, 2022 6:05 PM"
crankshaft,mechanical component,"December 27, 2022 6:03 PM"
distress,,"December 27, 2022 11:05 AM"
blatant,,"December 27, 2022 11:05 AM"
dwelling house,,"December 27, 2022 7:36 AM"
boiling,,"December 26, 2022 9:06 PM"
beat,,"December 26, 2022 9:03 PM"
waivers,,"December 26, 2022 8:33 PM"
https://www.urbandictionary.com/define.php?term=Whirly+Girl,,"December 26, 2022 7:39 PM"
glowing,,"December 26, 2022 7:28 PM"
shut (something) off,,"December 26, 2022 7:22 PM"
derogatory,,"December 26, 2022 6:55 PM"
deaf,"""Deaf-mute"" is another way. But it is derogatory, noun, people who cannot speak an oral language","December 26, 2022 6:53 PM"
Bless you!,Response to sneezing,"December 26, 2022 5:17 PM"
years' time,,"December 26, 2022 3:48 PM"
spoilt,,"December 26, 2022 1:23 PM"
thereby,"adverb, as a result of something","December 26, 2022 1:22 PM"
daunting,,"December 25, 2022 8:57 PM"
evenly,,"December 24, 2022 5:39 PM"
upheaval,,"December 24, 2022 11:39 AM"
moaning,,"December 24, 2022 8:43 AM"
at the moment,"X is happening now or currently occurring, formal","December 23, 2022 10:09 PM"
slipt up,,"December 23, 2022 9:43 PM"
belt,,"December 23, 2022 9:38 PM"
hook,,"December 23, 2022 9:36 PM"
fell off,,"December 23, 2022 9:32 PM"
fell down,,"December 23, 2022 9:32 PM"
liable,,"December 23, 2022 6:31 PM"
arson,,"December 23, 2022 6:31 PM"
tailored,,"December 23, 2022 6:29 PM"
hand out,,"December 23, 2022 6:27 PM"
gather,,"December 23, 2022 6:26 PM"
garbage dump,,"December 23, 2022 6:26 PM"
litter,"junk, trash","December 23, 2022 6:25 PM"
merely,"just, only","December 23, 2022 6:23 PM"
glance,"look quickly, verb","December 23, 2022 6:22 PM"
hand,"give, pass","December 23, 2022 6:20 PM"
thorough,rigorous,"December 23, 2022 6:17 PM"
pass out,,"December 23, 2022 6:16 PM"
reliance,,"December 23, 2022 6:15 PM"
foresaw,,"December 23, 2022 6:10 PM"
crankshaft,,"December 23, 2022 6:09 PM"
reimburse,,"December 23, 2022 6:08 PM"
file suit,,"December 23, 2022 6:07 PM"
relied,,"December 23, 2022 6:05 PM"
knack,,"December 23, 2022 5:45 PM"
screeching stops,,"December 23, 2022 5:31 PM"
jackrabbit starts,,"December 23, 2022 5:31 PM"
,,"January 24, 2023 8:10 PM"
skew,,"December 23, 2022 2:40 PM"
writs,,"December 22, 2022 9:53 PM"
Pedometer,,"December 22, 2022 9:25 PM"
wrist,,"December 22, 2022 9:19 PM"
thief,,"December 22, 2022 9:17 PM"
chasing,,"December 22, 2022 9:16 PM"
gap year,,"December 22, 2022 9:13 PM"
bite the bullet,,"December 21, 2022 11:00 AM"
hold off,,"December 21, 2022 11:00 AM"
reckoning,,"December 20, 2022 9:11 PM"
abridgment,,"December 20, 2022 9:11 PM"
set off,,"December 20, 2022 9:11 PM"
breastfeed,,"December 20, 2022 9:11 PM"
burial,,"December 20, 2022 9:11 PM"
shawl,,"December 20, 2022 9:11 PM"
grave,,"December 20, 2022 9:11 PM"
STAND FOR,,"December 20, 2022 9:11 PM"
threatened,,"December 20, 2022 9:11 PM"
bring,,"December 20, 2022 9:11 PM"
hall,,"December 20, 2022 9:10 PM"
Is mathematical proof a tautology?,,"December 20, 2022 1:32 PM"
Is proof different from a tautology?,,"December 20, 2022 1:32 PM"
Is proof the same as a tautology?,,"December 20, 2022 1:31 PM"
Want to know what I am up to?,,"December 19, 2022 9:06 PM"
cheek,,"December 19, 2022 8:20 PM"
ai'nt,,"December 19, 2022 8:07 PM"
though,,"December 19, 2022 7:37 PM"
in awe,,"December 19, 2022 7:33 PM"
rehearsed,,"December 19, 2022 7:32 PM"
tough,,"December 19, 2022 7:32 PM"
licentiousness,,"December 19, 2022 7:32 PM"
lounge,,"December 19, 2022 7:32 PM"
clever,,"December 19, 2022 7:31 PM"
groundbreaking,,"December 19, 2022 7:31 PM"
flawless,,"December 19, 2022 7:31 PM"
malfeasance,,"December 19, 2022 7:31 PM"
muddle up,"to confuse, verb","December 19, 2022 7:31 PM"
Reign,,"December 19, 2022 7:30 PM"
Revelers,,"December 19, 2022 7:30 PM"
Unfounded,,"December 19, 2022 7:30 PM"
poster child,,"December 19, 2022 7:30 PM"
